_c0,EffectiveDate,PricePerUnit,LeaseContractLength,PurchaseOption,OfferingClass,Location,InstanceType,CurrentGeneration,InstanceFamily,vCPU,ClockSpeed,Memory,Storage,NetworkPerformance,OperatingSystem,Tenancy,usageType,DedicatedEBSThroughput,NormalizationSizeFactor,ProcessorFeatures
1000074,11/10/18,1159011.0,3yr,All Upfront,convertible,US West (N. California),r5d.metal,Yes,Memory optimized,96.0,"",768 GiB,4 x 900 NVMe SSD,25 Gigabit,Windows,Dedicated,USW1-DedicatedUsage:r5d.metal,"",192.0,""
1000075,31/10/17,4.908,1yr,Partial Upfront,convertible,US East (N. Virginia),x1e.8xlarge,Yes,Memory optimized,32.0,2.3 GHz,976 GiB,1 x 960 SSD,Up to 10 Gigabit,Windows,Shared,BoxUsage:x1e.8xlarge,3500 Mbps,64.0,"Intel AVX, Intel AVX2, Intel Turbo"
1000091,01/03/19,134739.0,3yr,All Upfront,convertible,Asia Pacific (Singapore),c5n.18xlarge,Yes,Compute optimized,72.0,3.0 Ghz,192 GiB,EBS only,100 Gigabit,Windows,Dedicated,APS1-DedicatedUsage:c5n.18xlarge,14000 Mbps,144.0,"Intel AVX, Intel AVX2, Intel AVX512, Intel Turbo"
1000092,01/07/19,0.0,"","","",AWS GovCloud (US-East),r5.4xlarge,Yes,Memory optimized,16.0,"",128 GiB,EBS only,10 Gigabit,Windows,Host,UGE1-HostBoxUsage:r5.4xlarge,"",32.0,""
1000095,06/11/18,0.0,3yr,All Upfront,convertible,EU (Stockholm),c5d.2xlarge,Yes,Compute optimized,8.0,3.0 Ghz,16 GiB,1 x 200 NVMe SSD,Up to 10 Gigabit,RHEL,Shared,EUN1-BoxUsage:c5d.2xlarge,Upto 2250 Mbps,16.0,"Intel AVX, Intel AVX2, Intel AVX512, Intel Turbo"
1000100,01/07/19,41.808,"","","",AWS GovCloud (US-East),m5.metal,Yes,General purpose,96.0,2.5 GHz,384 GiB,EBS only,25 Gigabit,Linux,Shared,UGE1-UnusedBox:m5.metal,12000 Mbps,192.0,"Intel AVX, Intel AVX2, Intel AVX512, Intel Turbo"
1000109,01/06/19,0.0,3yr,All Upfront,convertible,Asia Pacific (Hong Kong),r5d.16xlarge,Yes,Memory optimized,64.0,"",512 GiB,4 x 600 NVMe SSD,20 Gigabit,Linux,Dedicated,APE1-DedicatedUsage:r5d.16xlarge,"",128.0,""
1000131,01/12/18,2.537,1yr,Partial Upfront,convertible,EU (London),m5d.metal,Yes,General purpose,96.0,2.5 GHz,384 GiB,4 x 900 NVMe SSD,25 Gigabit,RHEL,Shared,EUW2-BoxUsage:m5d.metal,12000 Mbps,192.0,"Intel AVX, Intel AVX2, Intel AVX512, Intel Turbo"
1000149,06/11/18,0.0,1yr,All Upfront,convertible,EU (Stockholm),m5.24xlarge,Yes,General purpose,96.0,2.5 GHz,384 GiB,EBS only,25 Gigabit,RHEL,Shared,EUN1-BoxUsage:m5.24xlarge,12000 Mbps,192.0,"Intel AVX, Intel AVX2, Intel AVX512, Intel Turbo"
1000164,31/03/18,0.677,1yr,Partial Upfront,convertible,EU (Paris),i3.4xlarge,Yes,Storage optimized,16.0,2.3 GHz,122 GiB,2 x 1900 NVMe SSD,Up to 10 Gigabit,Linux,Shared,EUW3-BoxUsage:i3.4xlarge,3500 Mbps,32.0,"Intel AVX, Intel AVX2, Intel Turbo"
1000165,30/04/17,0.0,1yr,All Upfront,standard,Asia Pacific (Seoul),m4.2xlarge,Yes,General purpose,8.0,2.4 GHz,32 GiB,EBS only,High,RHEL,Dedicated,APN2-DedicatedUsage:m4.2xlarge,1000 Mbps,16.0,Intel AVX; Intel AVX2; Intel Turbo
1000166,05/08/18,0.46,3yr,No Upfront,convertible,Asia Pacific (Singapore),c5d.4xlarge,Yes,Compute optimized,16.0,3.0 Ghz,32 GiB,1 x 400 NVMe SSD,Up to 10 Gigabit,Linux,Shared,APS1-BoxUsage:c5d.4xlarge,Upto 2250 Mbps,32.0,"Intel AVX, Intel AVX2, Intel AVX512, Intel Turbo"
1000178,01/07/19,1.7,"","","",Asia Pacific (Tokyo),i3en.3xlarge,Yes,Storage optimized,12.0,3.1 GHz,96 GiB,1 x 7500 NVMe SSD,Up to 25 Gigabit,Linux,Dedicated,APN1-DedicatedUsage:i3en.3xlarge,Up to 3500 Mbps,24.0,""
1000187,11/12/18,1147680.0,3yr,All Upfront,standard,AWS GovCloud (US),r5d.24xlarge,Yes,Memory optimized,96.0,"",768 GiB,4 x 900 NVMe SSD,25 Gigabit,Windows,Shared,UGW1-BoxUsage:r5d.24xlarge,"",192.0,""
1000205,30/04/17,30.203000000000003,3yr,No Upfront,convertible,Asia Pacific (Tokyo),i3.16xlarge,Yes,Storage optimized,64.0,2.3 GHz,488 GiB,8 x 1900 NVMe SSD,20 Gigabit,Windows,Dedicated,APN1-DedicatedUsage:i3.16xlarge,14000 Mbps,128.0,"Intel AVX, Intel AVX2, Intel Turbo"
1000238,31/03/18,1.238,1yr,No Upfront,standard,EU (London),c5.2xlarge,Yes,Compute optimized,8.0,3.0 Ghz,16 GiB,EBS only,Up to 10 Gigabit,Linux,Shared,EUW2-BoxUsage:c5.2xlarge,Upto 2250 Mbps,16.0,"Intel AVX, Intel AVX2, Intel AVX512, Intel Turbo"
1000244,01/03/19,0.0,1yr,All Upfront,standard,Asia Pacific (Hong Kong),c5d.9xlarge,Yes,Compute optimized,36.0,3.0 Ghz,72 GiB,1 x 900 NVMe SSD,10 Gigabit,Windows,Dedicated,APE1-DedicatedUsage:c5d.9xlarge,4500 Mbps,72.0,"Intel AVX, Intel AVX2, Intel AVX512, Intel Turbo"
1000253,11/10/18,91579.0,3yr,All Upfront,convertible,AWS GovCloud (US),r5.metal,Yes,Memory optimized,96.0,"",768 GiB,EBS only,25 Gigabit,SUSE,Shared,UGW1-BoxUsage:r5.metal,"",192.0,""
1000278,31/07/17,0.0,3yr,All Upfront,convertible,EU (Frankfurt),p2.xlarge,Yes,GPU instance,4.0,2.3 GHz,61 GiB,EBS only,High,Linux,Shared,EUC1-BoxUsage:p2.xlarge,"",8.0,"Intel AVX, Intel AVX2, Intel Turbo"
1000280,31/10/17,0.0,1yr,All Upfront,standard,US West (Oregon),c5.4xlarge,Yes,Compute optimized,16.0,3.0 Ghz,32 GiB,EBS only,Up to 10 Gigabit,Windows,Shared,USW2-BoxUsage:c5.4xlarge,Upto 2250 Mbps,32.0,"Intel AVX, Intel AVX2, Intel AVX512, Intel Turbo"
1000282,01/07/19,0.0,"","","",Asia Pacific (Seoul),t3a.large,Yes,General purpose,2.0,2.5 GHz,8 GiB,EBS only,Low to Moderate,Linux,Shared,APN2-Reservation:t3a.large,Upto 2120 Mbps,4.0,"AVX, AVX2, AMD Turbo"
1000284,01/07/19,7.127999999999999,"","","",Asia Pacific (Singapore),m5d.4xlarge,Yes,General purpose,16.0,2.5 GHz,64 GiB,2 x 300 NVMe SSD,Up to 10 Gigabit,Linux,Shared,APS1-BoxUsage:m5d.4xlarge,2120 Mbps,32.0,"Intel AVX, Intel AVX2, Intel AVX512, Intel Turbo"
1000285,01/03/19,0.0,3yr,All Upfront,convertible,Asia Pacific (Singapore),r5ad.2xlarge,Yes,Memory optimized,8.0,2.5 GHz,64 GiB,1 x 300 NVMe SSD,10 Gigabit,Windows,Shared,APS1-BoxUsage:r5ad.2xlarge,Upto 2120 Mbps,16.0,"AVX, AVX2, AMD Turbo"
1000303,04/09/18,0.20800000000000002,1yr,No Upfront,standard,Asia Pacific (Sydney),r5.xlarge,Yes,Memory optimized,4.0,"",32 GiB,EBS only,10 Gigabit,Linux,Dedicated,APS2-DedicatedUsage:r5.xlarge,"",8.0,""
1000311,01/06/19,2.438,3yr,Partial Upfront,convertible,Asia Pacific (Tokyo),m5a.16xlarge,Yes,General purpose,64.0,2.5 GHz,256 GiB,EBS only,12 Gigabit,Windows,Shared,APN1-BoxUsage:m5a.16xlarge,7000 Mbps,128.0,"AVX, AVX2, AMD Turbo"
1000313,01/01/19,0.0,3yr,All Upfront,standard,Asia Pacific (Mumbai),m5d.4xlarge,Yes,General purpose,16.0,2.5 GHz,64 GiB,2 x 300 NVMe SSD,Up to 10 Gigabit,Linux,Dedicated,APS3-DedicatedUsage:m5d.4xlarge,2120 Mbps,32.0,"Intel AVX, Intel AVX2, Intel AVX512, Intel Turbo"
1000322,12/10/18,8601.0,3yr,Partial Upfront,convertible,Asia Pacific (Singapore),r5.large,Yes,Memory optimized,2.0,3.1 GHz,16 GiB,EBS only,10 Gigabit,Windows,Dedicated,APS1-DedicatedUsage:r5.large,"",4.0,""
1000339,01/03/19,28651.0,1yr,All Upfront,convertible,Asia Pacific (Singapore),c5n.9xlarge,Yes,Compute optimized,36.0,3.0 Ghz,96 GiB,EBS only,50 Gigabit,Windows,Shared,APS1-BoxUsage:c5n.9xlarge,7000 Mbps,72.0,"Intel AVX, Intel AVX2, Intel AVX512, Intel Turbo"
1000341,31/03/17,11915.0,3yr,Partial Upfront,standard,Asia Pacific (Seoul),p2.xlarge,Yes,GPU instance,4.0,2.3 GHz,61 GiB,EBS only,High,Windows,Shared,APN2-BoxUsage:p2.xlarge,"",8.0,"Intel AVX, Intel AVX2, Intel Turbo"
1000355,01/04/19,220206.0,3yr,Partial Upfront,standard,EU (Frankfurt),i3en.24xlarge,Yes,Storage optimized,96.0,3.1 GHz,768 GiB,8 x 7500 NVMe SSD,100 Gigabit,Linux,Dedicated,EUC1-DedicatedUsage:i3en.24xlarge,14000 Mbps,192.0,""
1000356,30/11/17,21372.0,3yr,Partial Upfront,standard,EU (Paris),c5.18xlarge,Yes,Compute optimized,72.0,3.0 Ghz,144 GiB,EBS only,25 Gigabit,Linux,Shared,EUW3-BoxUsage:c5.18xlarge,9000 Mbps,144.0,"Intel AVX, Intel AVX2, Intel AVX512, Intel Turbo"
1000367,30/09/16,12561.0,3yr,Partial Upfront,convertible,US East (N. Virginia),r3.2xlarge,No,Memory optimized,8.0,2.5 GHz,61 GiB,1 x 160 SSD,High,Windows,Dedicated,DedicatedUsage:r3.2xlarge,"",16.0,Intel AVX; Intel Turbo
1000392,01/03/19,1.83,1yr,No Upfront,convertible,Asia Pacific (Sydney),z1d.3xlarge,Yes,Memory optimized,12.0,"",96 GiB,1 x 450 NVMe SSD,Up to 10 Gigabit,Windows,Dedicated,APS2-DedicatedUsage:z1d.3xlarge,"",24.0,""
1000400,01/05/19,34435.0,3yr,Partial Upfront,standard,AWS GovCloud (US-East),x1e.8xlarge,Yes,Memory optimized,32.0,2.3 GHz,976 GiB,1 x 960 SSD,Up to 10 Gigabit,RHEL,Dedicated,UGE1-DedicatedUsage:x1e.8xlarge,3500 Mbps,64.0,"Intel AVX, Intel AVX2, Intel Turbo"
1000401,31/10/17,3.7569999999999997,1yr,Partial Upfront,convertible,Asia Pacific (Singapore),c3.4xlarge,No,Compute optimized,16.0,2.8 GHz,30 GiB,2 x 160 SSD,High,Windows,Shared,APS1-BoxUsage:c3.4xlarge,"",32.0,Intel AVX; Intel Turbo
1000403,31/10/16,0.304,3yr,Partial Upfront,convertible,EU (Ireland),r4.2xlarge,Yes,Memory optimized,8.0,2.3 GHz,61 GiB,EBS only,Up to 10 Gigabit,Windows,Dedicated,EU-DedicatedUsage:r4.2xlarge,1600 Mbps,16.0,"Intel AVX, Intel AVX2, Intel Turbo"
1000428,01/07/19,0.0,"","","",Asia Pacific (Mumbai),m5d.24xlarge,Yes,General purpose,96.0,2.5 GHz,384 GiB,4 x 900 NVMe SSD,25 Gigabit,Linux,Dedicated,APS3-DedicatedRes:m5d.24xlarge,12000 Mbps,192.0,"Intel AVX, Intel AVX2, Intel AVX512, Intel Turbo"
1000429,03/08/18,7148.0,1yr,Partial Upfront,standard,EU (Frankfurt),t3.xlarge,Yes,General purpose,4.0,"",16 GiB,EBS only,Moderate,Linux,Shared,EUC1-BoxUsage:t3.xlarge,"",8.0,""
1000447,28/10/18,0.992,3yr,Partial Upfront,standard,US East (N. Virginia),m5a.24xlarge,Yes,General purpose,96.0,2.5 GHz,384 GiB,EBS only,20 Gigabit,SUSE,Dedicated,DedicatedUsage:m5a.24xlarge,10000 Mbps,192.0,"AVX, AVX2, AMD Turbo"
1000465,01/07/19,6487.0,1yr,All Upfront,standard,Canada (Central),r5ad.4xlarge,Yes,Memory optimized,16.0,2.5 GHz,128 GiB,2 x 300 NVMe SSD,10 Gigabit,SUSE,Shared,CAN1-BoxUsage:r5ad.4xlarge,Upto 2120 Mbps,32.0,"AVX, AVX2, AMD Turbo"
1000466,05/08/18,0.0,3yr,All Upfront,convertible,US West (N. California),m5d.24xlarge,Yes,General purpose,96.0,2.5 GHz,384 GiB,4 x 900 NVMe SSD,25 Gigabit,Windows,Shared,USW1-BoxUsage:m5d.24xlarge,12000 Mbps,192.0,"Intel AVX, Intel AVX2, Intel AVX512, Intel Turbo"
1000476,30/06/18,0.22899999999999998,3yr,No Upfront,standard,US East (N. Virginia),r5.2xlarge,Yes,Memory optimized,8.0,"",64 GiB,EBS only,10 Gigabit,Linux,Shared,BoxUsage:r5.2xlarge,"",16.0,""
1000514,31/12/17,31833.0,1yr,Partial Upfront,convertible,EU (London),c5.18xlarge,Yes,Compute optimized,72.0,3.0 Ghz,144 GiB,EBS only,25 Gigabit,Windows,Dedicated,EUW2-DedicatedUsage:c5.18xlarge,9000 Mbps,144.0,"Intel AVX, Intel AVX2, Intel AVX512, Intel Turbo"
1000521,30/09/16,3678.0,1yr,Partial Upfront,standard,EU (Ireland),d2.2xlarge,Yes,Storage optimized,8.0,2.4 GHz,61 GiB,6 x 2000 HDD,High,RHEL,Dedicated,EU-DedicatedUsage:d2.2xlarge,"",16.0,Intel AVX; Intel AVX2; Intel Turbo
1000538,31/05/18,0.0,3yr,All Upfront,standard,US East (N. Virginia),m5d.24xlarge,Yes,General purpose,96.0,2.5 GHz,384 GiB,4 x 900 NVMe SSD,25 Gigabit,Windows,Dedicated,DedicatedUsage:m5d.24xlarge,12000 Mbps,192.0,"Intel AVX, Intel AVX2, Intel AVX512, Intel Turbo"
1000540,31/12/17,41327.0,3yr,All Upfront,convertible,US East (Ohio),m4.16xlarge,Yes,General purpose,64.0,2.3 GHz,256 GiB,EBS only,20 Gigabit,RHEL,Dedicated,USE2-DedicatedUsage:m4.16xlarge,10000 Mbps,128.0,"Intel AVX, Intel AVX2, Intel Turbo"
1000557,01/05/19,91024.0,3yr,Partial Upfront,standard,AWS GovCloud (US-East),x1.32xlarge,Yes,Memory optimized,128.0,2.3 GHz,"1,952 GiB",2 x 1920 SSD,High,Linux,Shared,UGE1-BoxUsage:x1.32xlarge,"",256.0,""
1000590,24/09/18,0.0,1yr,All Upfront,standard,AWS GovCloud (US),c5d.2xlarge,Yes,Compute optimized,8.0,3.0 Ghz,16 GiB,1 x 200 NVMe SSD,Up to 10 Gigabit,Windows,Dedicated,UGW1-DedicatedUsage:c5d.2xlarge,Upto 2250 Mbps,16.0,"Intel AVX, Intel AVX2, Intel AVX512, Intel Turbo"
1000598,01/07/19,0.3108,"","","",Asia Pacific (Osaka-Local),t2.xlarge,Yes,General purpose,4.0,Up to 3.0 GHz,16 GiB,EBS only,Moderate,Linux,Shared,APN3-BoxUsage:t2.xlarge,"",8.0,Intel AVX; Intel Turbo
1000599,11/12/18,0.0,3yr,All Upfront,convertible,AWS GovCloud (US),r5d.2xlarge,Yes,Memory optimized,8.0,"",64 GiB,1 x 300 NVMe SSD,10 Gigabit,Windows,Dedicated,UGW1-DedicatedUsage:r5d.2xlarge,"",16.0,""
1000602,30/09/16,0.0,3yr,All Upfront,standard,US East (N. Virginia),d2.2xlarge,Yes,Storage optimized,8.0,2.4 GHz,61 GiB,6 x 2000 HDD,High,Linux,Dedicated,DedicatedUsage:d2.2xlarge,"",16.0,Intel AVX; Intel AVX2; Intel Turbo
1000603,01/07/19,1.0659999999999998,"","","",US East (N. Virginia),c3.xlarge,No,Compute optimized,4.0,2.8 GHz,7.5 GiB,2 x 40 SSD,Moderate,Windows,Shared,UnusedBox:c3.xlarge,"",8.0,Intel AVX; Intel Turbo
1000606,11/10/18,404204.0,1yr,All Upfront,convertible,Asia Pacific (Tokyo),r5d.metal,Yes,Memory optimized,96.0,"",768 GiB,4 x 900 NVMe SSD,25 Gigabit,Windows,Dedicated,APN1-DedicatedUsage:r5d.metal,"",192.0,""
1000617,01/07/19,28692.0,1yr,All Upfront,standard,Canada (Central),m5ad.2xlarge,Yes,General purpose,8.0,2.5 GHz,32 GiB,1 x 300 NVMe SSD,Up to 10 Gigabit,Linux,Shared,CAN1-BoxUsage:m5ad.2xlarge,Upto 2120 Mbps,16.0,"AVX, AVX2, AMD Turbo"
1000621,31/01/18,3505.0,1yr,Partial Upfront,convertible,Canada (Central),c5.2xlarge,Yes,Compute optimized,8.0,3.0 Ghz,16 GiB,EBS only,Up to 10 Gigabit,Windows,Dedicated,CAN1-DedicatedUsage:c5.2xlarge,Upto 2250 Mbps,16.0,"Intel AVX, Intel AVX2, Intel AVX512, Intel Turbo"
1000632,30/11/17,3779.0,3yr,All Upfront,standard,EU (Paris),i3.large,Yes,Storage optimized,2.0,2.3 GHz,15.25 GiB,1 x 475 NVMe SSD,Up to 10 Gigabit,RHEL,Dedicated,EUW3-DedicatedUsage:i3.large,425 Mbps,4.0,"Intel AVX, Intel AVX2, Intel Turbo"
1000651,30/04/17,0.0,3yr,All Upfront,convertible,Asia Pacific (Seoul),m4.2xlarge,Yes,General purpose,8.0,2.4 GHz,32 GiB,EBS only,High,Windows,Shared,APN2-BoxUsage:m4.2xlarge,1000 Mbps,16.0,Intel AVX; Intel AVX2; Intel Turbo
1000653,31/03/18,48109.0,1yr,All Upfront,standard,Asia Pacific (Tokyo),m5.24xlarge,Yes,General purpose,96.0,2.5 GHz,384 GiB,EBS only,25 Gigabit,Linux,Shared,APN1-BoxUsage:m5.24xlarge,12000 Mbps,192.0,"Intel AVX, Intel AVX2, Intel AVX512, Intel Turbo"
1000672,31/03/18,29103.0,1yr,All Upfront,standard,US East (N. Virginia),m3.2xlarge,No,General purpose,8.0,2.5 GHz,30 GiB,2 x 80 SSD,High,Linux,Shared,BoxUsage:m3.2xlarge,"",16.0,Intel AVX; Intel Turbo
1000680,31/03/18,10.392000000000001,3yr,No Upfront,convertible,US West (Oregon),x1.16xlarge,Yes,Memory optimized,64.0,2.3 GHz,976 GiB,1 x 1920 SSD,High,Linux,Dedicated,USW2-DedicatedUsage:x1.16xlarge,"",128.0,""
1000694,01/05/19,105961.0,3yr,Partial Upfront,standard,Asia Pacific (Tokyo),z1d.12xlarge,Yes,Memory optimized,48.0,"",384 GiB,2 x 900 NVMe SSD,25 Gigabit,Linux,Dedicated,APN1-DedicatedUsage:z1d.12xlarge,"",96.0,""
1000698,01/07/19,3.443,"","","",EU (Stockholm),c5d.2xlarge,Yes,Compute optimized,8.0,3.0 Ghz,16 GiB,1 x 200 NVMe SSD,Up to 10 Gigabit,Linux,Dedicated,EUN1-DedicatedUsage:c5d.2xlarge,Upto 2250 Mbps,16.0,"Intel AVX, Intel AVX2, Intel AVX512, Intel Turbo"
1000701,28/02/18,1.6980000000000002,1yr,No Upfront,standard,Asia Pacific (Sydney),t2.xlarge,Yes,General purpose,4.0,Up to 3.0 GHz,16 GiB,EBS only,Moderate,Windows,Shared,APS2-BoxUsage:t2.xlarge,"",8.0,Intel AVX; Intel Turbo
1000708,31/03/18,0.0,3yr,All Upfront,convertible,Asia Pacific (Sydney),c3.4xlarge,No,Compute optimized,16.0,2.8 GHz,30 GiB,2 x 160 SSD,High,Linux,Shared,APS2-BoxUsage:c3.4xlarge,"",32.0,Intel AVX; Intel Turbo
1000710,31/10/17,0.0,1yr,All Upfront,convertible,Asia Pacific (Singapore),i3.4xlarge,Yes,Storage optimized,16.0,2.3 GHz,122 GiB,2 x 1900 NVMe SSD,Up to 10 Gigabit,Windows,Shared,APS1-BoxUsage:i3.4xlarge,3500 Mbps,32.0,"Intel AVX, Intel AVX2, Intel Turbo"
1000725,01/06/19,3.395,1yr,No Upfront,standard,EU (Stockholm),r5d.16xlarge,Yes,Memory optimized,64.0,"",512 GiB,4 x 600 NVMe SSD,20 Gigabit,Linux,Dedicated,EUN1-DedicatedUsage:r5d.16xlarge,"",128.0,""
1000727,11/10/18,51420.0,3yr,Partial Upfront,standard,US West (Oregon),z1d.metal,Yes,Memory optimized,48.0,"",384 GiB,2 x 900 NVMe SSD,25 Gigabit,Windows,Dedicated,USW2-DedicatedUsage:z1d.metal,"",96.0,""
1000737,01/07/19,0.0,"","","",US West (Oregon),r5ad.2xlarge,Yes,Memory optimized,8.0,2.5 GHz,64 GiB,1 x 300 NVMe SSD,10 Gigabit,Linux,Dedicated,USW2-DedicatedRes:r5ad.2xlarge,Upto 2120 Mbps,16.0,"AVX, AVX2, AMD Turbo"
1000745,01/05/19,0.188,3yr,Partial Upfront,convertible,AWS GovCloud (US-East),x1e.xlarge,Yes,Memory optimized,4.0,2.3 GHz,122 GiB,1 x 120 SSD,Up to 10 Gigabit,Linux,Dedicated,UGE1-DedicatedUsage:x1e.xlarge,500 Mbps,8.0,"Intel AVX, Intel AVX2"
1000753,11/10/18,9.012,1yr,No Upfront,standard,EU (Frankfurt),r5.metal,Yes,Memory optimized,96.0,"",768 GiB,EBS only,25 Gigabit,Windows,Shared,EUC1-BoxUsage:r5.metal,"",192.0,""
1000769,01/06/19,58664.0,1yr,Partial Upfront,standard,US West (Oregon),r5d.16xlarge,Yes,Memory optimized,64.0,"",512 GiB,4 x 600 NVMe SSD,20 Gigabit,Windows,Shared,USW2-BoxUsage:r5d.16xlarge,"",128.0,""
1000776,31/03/18,0.0,3yr,All Upfront,standard,US West (N. California),m5.large,Yes,General purpose,2.0,2.5 GHz,8 GiB,EBS only,Up to 10 Gigabit,Linux,Shared,USW1-BoxUsage:m5.large,Upto 2120 Mbps,4.0,"Intel AVX, Intel AVX2, Intel AVX512, Intel Turbo"
1000795,31/12/17,0.016,1yr,Partial Upfront,standard,US West (Oregon),t2.micro,Yes,General purpose,1.0,Up to 3.3 GHz,1 GiB,EBS only,Low to Moderate,Windows,Shared,USW2-BoxUsage:t2.micro,"",0.5,Intel AVX; Intel Turbo
1000814,01/07/19,82589.0,1yr,Partial Upfront,standard,US East (N. Virginia),p3.16xlarge,Yes,GPU instance,64.0,2.3 GHz,488 GiB,EBS only,25 Gigabit,Windows,Dedicated,DedicatedUsage:p3.16xlarge,14000 Mbps,128.0,"Intel AVX, Intel AVX2, Intel Turbo"
1000836,31/01/18,0.0,1yr,All Upfront,convertible,Canada (Central),c5.xlarge,Yes,Compute optimized,4.0,3.0 Ghz,8 GiB,EBS only,Up to 10 Gigabit,SUSE,Dedicated,CAN1-DedicatedUsage:c5.xlarge,Upto 2250 Mbps,8.0,"Intel AVX, Intel AVX2, Intel AVX512, Intel Turbo"
1000845,01/06/19,0.0,3yr,All Upfront,convertible,EU (Paris),m5a.8xlarge,Yes,General purpose,32.0,2.5 GHz,128 GiB,EBS only,Up to 10 Gigabit,Windows,Dedicated,EUW3-DedicatedUsage:m5a.8xlarge,3500 Mbps,64.0,"AVX, AVX2, AMD Turbo"
1000847,01/07/19,0.0,"","","",EU (Frankfurt),x1.32xlarge,Yes,Memory optimized,128.0,2.3 GHz,"1,952 GiB",2 x 1920 SSD,High,Linux,Host,EUC1-HostBoxUsage:x1.32xlarge,"",256.0,""
1000852,01/06/19,63790.0,3yr,Partial Upfront,standard,US West (Oregon),r5d.16xlarge,Yes,Memory optimized,64.0,"",512 GiB,4 x 600 NVMe SSD,20 Gigabit,Windows,Shared,USW2-BoxUsage:r5d.16xlarge,"",128.0,""
1000855,31/03/18,2510.0,1yr,Partial Upfront,standard,Asia Pacific (Sydney),c3.large,No,Compute optimized,2.0,2.8 GHz,3.75 GiB,2 x 16 SSD,Moderate,Linux,Dedicated,APS2-DedicatedUsage:c3.large,"",4.0,Intel AVX; Intel Turbo
1000864,01/07/19,0.0,"","","",AWS GovCloud (US-East),x1e.xlarge,Yes,Memory optimized,4.0,2.3 GHz,122 GiB,1 x 120 SSD,Up to 10 Gigabit,Linux,Host,UGE1-HostBoxUsage:x1e.xlarge,500 Mbps,8.0,"Intel AVX, Intel AVX2"
1000875,31/03/18,288840.0,3yr,Partial Upfront,convertible,Asia Pacific (Singapore),x1.32xlarge,Yes,Memory optimized,128.0,2.3 GHz,"1,952 GiB",2 x 1920 SSD,High,Linux,Shared,APS1-BoxUsage:x1.32xlarge,"",256.0,""
